,Lost Data,Number of Iterations,Reward
0,284.6552953,1,-140.0644119
1,278.3292338,2,-137.6289117
2,277.9478282,3,-137.6561933
3,274.4090288,4,-136.2594632
4,270.0081015,5,-134.632816
5,269.0906296,6,-134.5659736
6,267.6226452,7,-133.752572
7,259.5665691,8,-131.1580088
8,256.3382626,9,-129.9462372
9,255.3037091,10,-129.6170913
10,250.5379697,11,-127.9684822
11,248.7494388,12,-127.1740068
12,245.9468033,13,-126.3875061
13,243.8523182,14,-125.6468326
14,237.8215715,15,-123.5512738
15,239.6500244,16,-124.1835822
16,232.465837,17,-121.5307467
17,230.1650073,18,-120.9034846
18,230.1545144,19,-120.9812787
19,221.4655442,20,-117.9607906
20,224.0041484,21,-118.6641288
21,218.0036603,22,-116.8644705
22,223.7661298,23,-118.6697023
23,217.1183504,24,-116.4654466
24,223.5151781,25,-118.6015325
25,211.1831625,26,-114.3793167
26,208.0430942,27,-113.3619424
27,203.6025378,28,-111.7736164
28,212.4347975,29,-114.9202343
29,211.6551977,30,-114.28653
30,204.5255246,31,-112.0632601
31,204.8189361,32,-112.150122
32,214.6432894,33,-115.0356955
33,192.8547096,34,-108.121386
34,191.4281113,35,-107.7488921
35,197.0533431,36,-109.39796
36,193.1867252,37,-108.3215422
37,199.2530015,38,-110.341757
38,190.968326,39,-107.5613177
39,184.0024402,40,-105.1056125
40,184.979063,41,-105.3037286
41,186.2128843,42,-105.9866179
42,188.0686676,43,-106.0590922
43,192.7144949,44,-107.9008297
44,177.2000488,45,-102.9517618
45,189.2902879,46,-106.5801952
46,182.1051245,47,-104.2215032
47,170.622206,48,-100.7623036
48,195.7781845,49,-108.5250366
49,183.9981454,50,-104.6036506
50,181.7924353,51,-103.9365935
51,178.5156662,52,-103.389429
52,185.5784773,53,-105.8646266
53,184.9855051,54,-105.2060127
54,176.595266,55,-102.3618741
55,224.3470961,56,-117.6502587
56,220.1726208,57,-116.4697316
57,190.7916057,58,-106.7876037
58,211.0931186,59,-112.6585749
59,180.4649097,60,-103.4038751
60,207.8870181,61,-112.5440215
61,189.3183504,62,-106.0526208
62,221.2440215,63,-116.1964861
63,211.4651049,64,-113.5352855
64,204.9579795,65,-110.1693802
65,241.2687164,66,-122.1460908
66,214.26408,67,-114.137306
67,216.0458272,68,-114.9332162
68,238.6550512,69,-121.2053099
69,231.5304051,70,-119.5287067
70,217.0813568,71,-114.6246364
71,205.3374817,72,-111.9880918
72,212.6772084,73,-113.430083
73,238.3431918,74,-121.8755881
74,215.9661786,75,-113.2703172
75,253.0415813,76,-124.1963787
76,231.5754514,77,-118.0652709
77,273.8300634,78,-129.8709712
78,261.606491,79,-126.4137042
79,343.6622743,80,-164.3292338
80,231.3399219,81,-117.89102
81,362.7308931,82,-169.6311567
82,237.4532455,83,-120.1914007
83,220.3736945,84,-115.7473304
84,227.7312836,85,-118.8201855
85,211.6376769,86,-111.8634651
86,224.3356271,87,-114.7379112
87,240.3193265,88,-122.4283651
88,219.0383602,89,-112.5670278
89,263.5071742,90,-125.9467936
90,273.3303075,91,-132.6039629
91,225.0938019,92,-114.7456711
92,201.0340166,93,-108.1715373
93,210.5455832,94,-109.9727477
94,214.5684724,95,-112.4781942
95,258.0213275,96,-126.6675354
96,211.9165935,97,-112.1990434
97,205.5422645,98,-108.2222743
98,240.3433382,99,-119.7334797
99,247.470571,100,-121.8110688
100,247.5225476,101,-123.7720742
101,224.850366,102,-114.1683065
102,369.5130796,103,-169.864041
103,246.8258175,104,-121.6000195
104,255.2537335,105,-124.1507857
105,288.329673,106,-133.1730112
106,288.7016105,107,-135.023836
107,276.5535871,108,-131.1192387
108,293.2442655,109,-136.3928746
109,267.8531967,110,-129.2115569
110,252.7018546,111,-124.4877696
111,278.2514397,112,-130.8957443
112,223.8796974,113,-112.9076623
113,266.3605661,114,-126.8394924
114,267.0637872,115,-127.7513324
115,278.2147877,116,-129.6512152
116,268.2016105,117,-129.4656125
117,259.7334309,118,-125.1832699
118,294.3689117,119,-136.967672
119,326.3156662,120,-143.7317326
120,399.9077599,121,-181.3262079
121,269.4735969,122,-126.9978331
122,276.3304051,123,-129.5016593
123,286.1409468,124,-131.0144558
124,294.5862372,125,-134.8786628
125,275.0620303,126,-129.3862079
126,295.6526598,127,-136.2473987
127,299.8103953,128,-138.2191801
128,296.9738409,129,-137.2236506
129,247.5948267,130,-119.5833187
130,309.868082,131,-138.2385944
131,276.3933626,132,-129.5029283
132,274.427184,133,-128.7584285
133,247.6116642,134,-119.7828306
134,283.7062958,135,-130.5320547
135,299.1980478,136,-134.7775598
136,265.3605661,137,-124.5392972
137,286.2790142,138,-130.947672
138,255.4049292,139,-121.7978917
139,321.7133236,140,-142.2621962
140,288.9645681,141,-131.6587897
141,256.9387018,142,-121.9541044
142,289.2211323,143,-132.235061
143,283.9448023,144,-130.2626452
144,297.24041,145,-134.1138311
145,307.7852611,146,-137.200488
146,263.5127379,147,-124.0341825
147,294.1102489,148,-133.2487848
148,302.910981,149,-135.6783016
149,296.1588092,150,-134.8058858
150,274.5345534,151,-127.1825378
151,305.729429,152,-136.6492631
152,289.5148853,153,-131.5951196
153,285.7770132,154,-130.6634163
154,316.1405076,155,-139.6201855
155,275.4390434,156,-128.0282284
156,286.7641288,157,-131.2971596
157,451.9071254,158,-192.7445486
158,300.9920937,159,-135.6684334
159,319.7917521,160,-141.237345
160,273.5284529,161,-128.3223133
161,294.7127379,162,-133.5942216
162,837.9578819,163,-350.83347
163,298.0870181,164,-134.4851733
164,360.9531479,165,-169.6894583
165,366.6346999,166,-171.4281601
166,341.3740849,167,-162.6326013
167,385.0846266,168,-183.0704539
168,403.0432894,169,-202.6597267
169,402.5613958,170,-202.531879
170,405.110981,171,-203.5778233
171,403.2459736,172,-202.9006345
172,404.1330405,173,-201.2088531
173,404.0335774,174,-199.0282674
174,402.6672523,175,-194.1613372
175,402.1112738,176,-188.1880918
176,401.9137628,177,-177.6188482
177,402.2911664,178,-177.7754222
178,401.6501708,179,-177.5580673
179,403.0858956,180,-178.0901415
180,404.1318692,181,-178.463387
181,402.4892143,182,-177.8102294
182,402.616447,183,-177.8420888
183,404.61347,184,-178.5942899
184,405.4127379,185,-178.9086286
185,406.0937531,186,-179.2139776
186,405.1229868,187,-178.7778429
187,403.9830649,188,-178.3582333
188,405.1560761,189,-178.7447145
189,407.7189849,190,-179.769634
190,357.1181064,191,-162.6756955
191,164.2810151,192,-98.72899951
192,132.4308443,193,-88.45574427
193,166.9939971,194,-100.0511371
194,132.3872621,195,-89.06520254
195,71.25309907,196,-70.11153734
196,69.05822352,197,-69.29166423
197,164.742655,198,-100.4678282
198,224.8766227,199,-118.5328843
199,143.9759883,200,-92.74876525
200,92.6227428,201,-78.96979014
201,74.15348951,202,-71.48740849
202,130.2682772,203,-89.02897999
203,129.8113226,204,-87.87596877
204,117.1645193,205,-84.24989751
205,173.5399219,206,-101.850571
206,116.4219619,207,-83.43798926
207,207.7482674,208,-113.883348
208,85.2261591,209,-75.96894095
209,64.39311859,210,-67.70405076
210,75.70839434,211,-71.56373841
211,166.3567106,212,-100.0260908
212,79.60585652,213,-73.98729136
213,64.35939483,214,-67.78963397
214,72.52913616,215,-71.14220595
215,72.93650561,216,-71.28734017
216,76.38970229,217,-72.71376281
217,77.42689117,218,-73.15645681
218,73.5761347,219,-71.55026842
219,81.42020498,220,-74.74280137
220,78.98926306,221,-73.80629575
221,72.70156174,222,-71.32781845
222,66.57515861,223,-68.79380185
223,69.43943387,224,-69.96635432
224,71.21005368,225,-70.67704246
