Number of Iterations,Reward,Lost Data
1.0,-139.2385156,282.446875
2.0,-138.3555273,280.0819336
3.0,-136.4105469,274.9619141
4.0,-140.138125,284.7886719
5.0,-137.1905273,277.5136719
6.0,-136.5544141,275.8831055
7.0,-138.4375,281.015625
8.0,-136.9220898,276.2493164
9.0,-135.7847656,273.4169922
10.0,-136.3780469,275.5154297
11.0,-133.9030078,269.0275391
12.0,-132.1494531,263.7989258
13.0,-130.7000781,259.8068359
14.0,-129.8940625,257.6599609
15.0,-127.1291211,250.3728516
16.0,-126.1902539,247.8669922
17.0,-125.0238867,245.1415039
18.0,-122.3200586,238.3453125
19.0,-122.5585938,238.2836914
20.0,-121.5263867,234.8254883
21.0,-120.8630664,232.9938477
22.0,-118.018125,225.7557617
23.0,-116.4326172,221.6796875
24.0,-115.0879688,217.534375
25.0,-113.3843945,213.0447266
26.0,-111.3663477,206.8521484
27.0,-112.2426367,209.2723633
28.0,-109.1553906,201.0500977
29.0,-107.0249219,195.6238281
30.0,-106.0626367,193.387793
31.0,-104.9981445,189.7133789
32.0,-105.6549414,191.6117188
33.0,-203.7166992,435.7431641
34.0,-101.2543164,179.899707
35.0,-101.2763281,178.9769531
36.0,-100.8286133,178.1152344
37.0,-100.0514453,175.5216797
38.0,-100.7383984,177.4612305
39.0,-99.07732422,172.8361328
40.0,-97.55410156,169.2416992
41.0,-95.69541016,163.9785156
42.0,-95.63759766,163.0991211
43.0,-93.49519531,157.7052734
44.0,-95.91589844,163.0832031
45.0,-94.37841797,158.8452148
46.0,-95.80164063,162.6876953
47.0,-92.90207031,155.1238281
48.0,-92.50195313,153.4033203
49.0,-92.79488281,154.6605469
50.0,-90.72132813,148.0850586
51.0,-178.6735937,368.3050781
52.0,-88.64125,143.2022461
53.0,-89.87757813,145.9195313
54.0,-88.78621094,142.9640625
55.0,-89.15189453,143.271582
56.0,-90.08705078,145.4532227
57.0,-86.85455078,136.3929688
58.0,-86.88876953,136.5126953
59.0,-83.47277344,127.3611328
60.0,-88.37919922,139.3330078
61.0,-146.4130469,283.7791992
62.0,-87.82787109,136.9756836
63.0,-81.36136719,121.0035156
64.0,-82.38535156,123.3754883
65.0,-82.76640625,124.3305664
66.0,-82.51458984,123.209082
67.0,-138.2261523,279.9831055
68.0,-137.9339063,279.3416016
69.0,-136.9630078,276.1819336
70.0,-135.8139063,273.3458008
71.0,-132.6997461,265.3003906
72.0,-134.3623438,269.0552734
73.0,-132.1536523,263.2857422
74.0,-131.6299609,262.0558594
75.0,-129.7289844,256.8517578
76.0,-130.2723047,258.5030273
77.0,-128.5076758,253.8045898
78.0,-126.3729688,248.5203125
79.0,-126.0396289,246.5236328
80.0,-124.1442188,242.1916016
81.0,-124.8825,243.990918
82.0,-121.0601758,233.8235352
83.0,-122.9424023,238.4729492
84.0,-119.6535156,229.8149414
85.0,-118.086875,225.9764648
86.0,-118.1193945,225.5536133
87.0,-117.1712695,223.1833008
88.0,-116.434668,220.6850586
89.0,-114.3361914,215.6146484
90.0,-116.3583203,220.7566406
91.0,-112.2022461,209.5107422
92.0,-110.2866602,203.6451172
93.0,-111.108125,206.7888672
94.0,-110.9001563,205.8124023
95.0,-108.1562305,197.8869141
96.0,-139.5373047,283.7602539
97.0,-138.7264453,281.4523438
98.0,-136.8016406,276.0446289
99.0,-136.1794141,274.9797852
100.0,-134.5719922,270.1311523
101.0,-132.8069531,265.203418
102.0,-130.5480078,259.0458008
103.0,-129.7648828,257.4761719
104.0,-205.2795313,445.3960938
105.0,-129.0274414,255.4311523
106.0,-129.5066406,255.8833008
107.0,-125.2456836,244.721875
108.0,-122.6675586,238.4914062
109.0,-122.3939063,237.3055664
110.0,-120.8582617,233.2259766
111.0,-119.7880078,229.8875
112.0,-118.0699805,225.4081055
113.0,-117.5423633,223.5788086
114.0,-113.7966016,213.6199219
115.0,-115.8981445,219.3901367
116.0,-113.0937891,211.5015625
117.0,-111.8314844,208.4239258
118.0,-195.32125,416.4305664
119.0,-110.7697852,205.065332
120.0,-109.1755469,200.6488281
121.0,-111.3290625,205.8080078
122.0,-108.3491406,197.984668
123.0,-106.8764453,194.2272461
124.0,-104.6918164,188.000293
125.0,-103.7666211,185.3210938
126.0,-104.6978906,187.4161133
127.0,-103.0718164,183.8038086
128.0,-102.6281641,182.7325195
129.0,-101.8264648,179.8041992
130.0,-101.2646094,178.1493164
131.0,-98.65566406,171.3876953
132.0,-96.92492188,166.7092773
133.0,-97.29025391,166.8669922
134.0,-98.73849609,170.3289063
135.0,-94.44427734,159.6788086
136.0,-96.00873047,162.7916016
137.0,-95.46142578,161.4355469
138.0,-91.63779297,150.7143555
139.0,-94.50953125,158.0609375
140.0,-92.07533203,152.0425781
141.0,-92.04496094,150.9522461
142.0,-89.81316406,145.5045898
143.0,-89.32013672,143.496875
144.0,-185.1035547,382.2779297
145.0,-90.32074219,145.137793
146.0,-84.54675781,131.0617188
147.0,-88.95785156,141.8013672
148.0,-85.54271484,132.3956055
149.0,-89.32685547,141.6557617
150.0,-84.59232422,129.6851563
151.0,-87.55808594,136.5026367
152.0,-82.72193359,124.1546875
153.0,-82.49859375,124.0956055
154.0,-84.91296875,129.1452148
155.0,-84.71404297,128.5905273
156.0,-140.4879492,285.9696289
157.0,-139.1992969,282.1803711
158.0,-137.2823633,277.4942383
159.0,-136.8579297,276.4514648
160.0,-135.8538867,273.6276367
161.0,-136.9995898,276.5553711
162.0,-133.8914648,268.4652344
163.0,-134.9885742,271.3154297
164.0,-133.5126172,267.3191406
165.0,-131.8260938,262.609668
166.0,-132.2945313,264.4155273
167.0,-131.0003906,261.0263672
168.0,-130.0699609,258.2974609
169.0,-130.4603906,259.1197266
170.0,-128.6456836,254.3009766
171.0,-128.8236523,254.9729492
172.0,-129.18,255.4744141
173.0,-127.7941602,251.6643555
174.0,-126.1479687,247.4475586
175.0,-125.8381641,246.3605469
176.0,-125.2293164,245.462207
177.0,-125.1069922,244.8182617
178.0,-123.9549414,241.6732422
179.0,-122.9579883,239.2858398
180.0,-122.3792188,237.259082
181.0,-123.0047852,238.9804688
182.0,-122.7071484,238.5183594
183.0,-207.5260352,450.1297852
184.0,-120.2722266,232.1039063
185.0,-120.1161719,231.8236328
186.0,-118.4587695,226.7438477
187.0,-118.0987695,225.755957
188.0,-117.5909766,224.5926758
189.0,-117.8073047,225.0285156
190.0,-115.5925586,219.4342773
191.0,-114.9800195,217.8663086
192.0,-114.4865039,215.9855469
193.0,-116.2010742,220.5527344
194.0,-112.7346289,211.8255859
195.0,-113.8900586,214.575
196.0,-112.3599023,210.4541992
197.0,-112.187793,210.0336914
198.0,-111.9661523,209.3868164
199.0,-111.7425,208.4260742
200.0,-109.3735938,202.2035156
201.0,-109.7635156,203.5835938
202.0,-108.7103906,200.1841797
203.0,-109.3110156,201.7296875
204.0,-107.2952148,196.1665039
205.0,-106.4757422,194.3192383
206.0,-106.9063086,195.0331055
207.0,-106.9628906,195.3979492
208.0,-107.4460352,196.3311523
209.0,-106.5485742,193.7603516
210.0,-139.5511328,283.8045898
211.0,-238.0319531,529.5769531
212.0,-137.5599219,278.7533203
213.0,-136.7951367,276.2102539
214.0,-134.4844922,269.8538086
215.0,-133.4722266,267.2791992
216.0,-132.8253906,265.4277344
217.0,-131.4253711,261.9313477
218.0,-130.3789453,258.5645508
219.0,-128.8160156,254.8354492
220.0,-128.4526758,254.2017578
221.0,-125.589707,246.6024414
222.0,-126.0495117,247.3613281
223.0,-124.1620703,241.9041992
224.0,-241.1183203,534.6366211
225.0,-122.4542773,237.5871094
226.0,-119.9120508,230.7286133
227.0,-121.2221484,234.4567383
228.0,-118.3153516,226.8552734
229.0,-116.6723438,222.2814453
230.0,-118.3323828,226.9686523
231.0,-116.2182422,220.6798828
232.0,-116.3078516,220.3863281
233.0,-114.7925977,216.5041992
234.0,-113.4767578,213.3012695
235.0,-112.6664844,210.687207
236.0,-110.362207,204.0366211
237.0,-112.235957,209.1287109
