,Lost Data,Number of Iterations,Reward
0,282.745144,1,-139.3001074
1,280.5794046,2,-138.5384968
2,281.3468033,3,-138.8203221
3,282.8622743,4,-139.3376867
4,283.5594436,5,-139.5421279
5,284.3754026,6,-139.9563592
6,283.1345534,7,-139.5571401
7,282.784041,8,-139.3144461
8,284.3670571,9,-139.8746901
9,285.2260127,10,-140.1909419
10,283.9537335,11,-139.7732943
11,283.8847731,12,-139.8481991
12,280.3118106,13,-138.3865593
13,282.4608102,14,-139.2861786
14,281.8005857,15,-139.1138409
15,282.3232308,16,-139.0940068
16,283.214202,17,-139.5658175
17,282.597511,18,-139.1539385
18,280.6585652,19,-138.6221376
19,283.2102001,20,-139.5063836
20,284.243631,21,-139.7957931
21,282.7968277,22,-139.3368863
22,284.4114202,23,-139.8812103
23,284.0588092,24,-139.797267
24,280.8184968,25,-138.5767887
25,281.5422157,26,-138.7855051
26,282.0108346,27,-139.0066276
27,281.8641776,28,-138.9782235
28,282.7159102,29,-139.2371694
29,283.0211323,30,-139.4507662
30,283.106735,31,-139.3751977
31,282.7475842,32,-139.1690678
32,282.5183992,33,-139.1574329
33,281.6751586,34,-138.8728453
34,282.9010737,35,-139.2873206
35,282.5433382,36,-139.2559883
36,281.4413372,37,-138.7649195
37,283.6808687,38,-139.5448219
38,285.077306,39,-140.0785066
39,283.2516349,40,-139.4160761
40,280.2555881,41,-138.3281991
41,283.114202,42,-139.3813568
42,283.0983407,43,-139.4572474
43,283.160859,44,-139.3763494
44,284.0955588,45,-139.8666276
45,281.5981454,46,-138.9762518
46,281.3748658,47,-138.7990922
47,282.3197169,48,-139.1616593
48,282.8394339,49,-139.4076135
49,284.6798926,50,-140.0025085
50,285.0256711,51,-140.1042167
51,282.6776476,52,-139.2335774
52,284.1501708,53,-139.9480137
53,283.4857491,54,-139.5441288
54,283.700488,55,-139.7747291
55,283.2368472,56,-139.5338799
56,283.0130307,57,-139.372611
57,281.4460713,58,-138.8888238
58,283.3888726,59,-139.5680918
59,282.9082479,60,-139.3577843
60,284.2571986,61,-139.9173743
61,281.7976574,62,-138.958204
62,283.8874085,63,-139.7470083
63,284.0698389,64,-139.8739092
64,284.077794,65,-139.8224305
65,281.5715959,66,-138.9012103
66,283.0660322,67,-139.4379795
67,283.5782333,68,-139.6035725
68,280.4766227,69,-138.3514592
69,283.2261103,70,-139.4246559
70,283.1026842,71,-139.4182333
71,283.3261103,72,-139.4805173
72,284.3686676,73,-139.9700146
73,282.8391898,74,-139.2884334
74,282.8220595,75,-139.2427818
75,282.7016593,76,-139.3049195
76,282.6712543,77,-139.3308248
77,283.2297706,78,-139.5093314
78,282.8014153,79,-139.3150512
79,282.5182528,80,-139.2862177
80,280.786042,81,-138.5516057
81,283.1832113,82,-139.5600098
82,284.0121523,83,-139.6778233
83,282.6579795,84,-139.3116057
84,282.9687653,85,-139.3363592
85,283.4140068,86,-139.3582821
86,282.595754,87,-139.3208785
87,281.1692533,88,-138.8225085
88,282.6700342,89,-139.3056906
89,281.8724256,90,-138.9534602
90,280.7923865,91,-138.6702977
91,285.9265007,92,-140.5633773
92,284.7643241,93,-140.0209078
93,283.065593,94,-139.4195022
94,283.41796,95,-139.6358516
95,282.2763299,96,-139.2250756
96,284.2414348,97,-139.9271742
97,283.9574915,98,-139.7425866
98,284.5536359,99,-139.8802635
99,283.5348463,100,-139.5364373
100,282.7697901,101,-139.3160664
101,281.6489507,102,-138.9438653
102,408.3442167,103,-189.5287555
103,282.1934114,104,-139.1235822
104,284.2576867,105,-139.9214739
105,283.4203514,106,-139.6768277
106,283.8192777,107,-139.7343973
107,283.1559297,108,-139.4380673
108,404.9859932,109,-188.2684334
109,283.107223,110,-139.4471352
110,281.0629575,111,-138.7602245
111,284.9776964,112,-140.1984968
112,281.22694,113,-138.7384578
113,284.1278184,114,-139.8639141
114,282.3148853,115,-139.2456223
115,280.9671059,116,-138.6032894
116,283.4884334,117,-139.6428111
117,283.6306979,118,-139.5911274
118,280.2567106,119,-138.3940459
119,279.9509517,120,-138.1704734
120,282.3462177,121,-139.1175988
121,283.1270864,122,-139.3496633
122,282.3133236,123,-138.9982918
123,281.9224012,124,-138.9788189
124,282.3446559,125,-139.2787604
125,282.5243045,126,-139.1700439
