Number of Iterations,Reward,Lost Data
1,-139.3703125,283.2353516
2,-139.9300781,284.5126953
3,-137.1717188,277.3189453
4,-136.8973828,276.3132813
5,-137.0383594,277.1369141
6,-137.6237109,277.9484375
7,-137.1505078,277.5808594
8,-140.4261328,286.1458984
9,-135.1610938,271.8431641
10,-135.6007813,273.5722656
11,-135.9582031,274.4072266
12,-136.5351563,275.2929688
13,-133.2576172,266.3349609
14,-133.1296094,265.8855469
15,-133.1758594,266.5089844
16,-130.6228516,259.9970703
17,-128.5589453,254.3001953
18,-130.0155078,257.9904297
19,-129.4566797,256.4029297
20,-126.8685547,250.1083984
21,-126.700625,248.8951172
22,-125.9123438,247.05625
23,-124.0074219,241.9472656
24,-139.0744141,282.5664063
25,-137.2350391,277.8996094
26,-137.020625,276.340625
27,-135.7115234,273.2363281
28,-136.0219922,274.1638672
29,-134.9692969,272.2621094
30,-132.9340625,266.8175781
31,-131.7696875,262.9056641
32,-132.1723828,263.8318359
33,-130.0526172,257.2580078
34,-129.6328516,256.3990234
35,-128.4537109,253.7539063
36,-126.7307813,249.0925781
37,-128.1935547,253.3037109
38,-127.5576953,251.1720703
39,-127.4997656,250.44375
40,-125.7288281,245.6404297
41,-123.6774609,240.4216797
42,-122.5677344,237.4789063
43,-121.895,235.909375
44,-121.0583594,232.9535156
45,-119.5099219,229.2923828
46,-117.9034375,225.2419922
47,-117.4812891,224.3257813
48,-115.10375,217.2320313
49,-114.5996094,216.0449219
50,-114.2051563,214.1212891
51,-112.7382813,210.8544922
52,-111.3418359,206.775
53,-110.1875,204.2333984
54,-110.9375391,205.290625
55,-111.3843359,205.6703125
56,-107.5334375,196.6509766
57,-105.3517188,189.7904297
58,-105.9823828,192.5267578
59,-105.8351172,191.1136719
60,-106.7296094,193.2888672
61,-107.0354297,193.1134766
62,-104.6946875,186.8880859
63,-102.5290234,181.3298828
64,-100.3328516,175.7369141
65,-100.2273828,175.2095703
66,-100.1092188,173.7642578
67,-102.0241797,179.4037109
68,-98.94851563,170.4572266
69,-140.6292578,286.2875
70,-139.9411328,284.2693359
71,-136.2582031,275.0888672
72,-138.0633594,279.8458984
73,-138.281875,279.5279297
74,-136.6930859,276.48125
75,-135.3869531,273.2623047
76,-139.5671875,282.5068359
77,-138.2357813,280.1890625
78,-137.3528125,278.05
79,-136.9504687,276.3751953
80,-137.2882031,278.4695313
81,-135.7804688,273.953125
82,-135.8547656,273.6408203
83,-136.2096875,275.153125
84,-136.1951172,275.0849609
85,-136.0998828,274.9738281
86,-135.1826172,272.2167969
87,-135.9676953,273.9792969
88,-133.8078516,268.1109375
89,-134.3214844,270.3056641
90,-134.3935938,270.3492188
91,-132.2710547,265.2699219
92,-133.0349219,266.0394531
93,-131.6545313,262.7496094
94,-132.6364063,265.0236328
95,-130.9253516,260.5384766
96,-130.7978906,261.1158203
97,-129.9550391,257.7123047
98,-132.1683984,263.4849609
99,-132.4147266,264.6574219
100,-130.3363672,259.1636719
101,-130.1204297,259.1267578
102,-130.7048047,260.3484375
103,-128.938125,255.2066406
104,-128.7541797,255.0958984
105,-129.83375,258.0853516
106,-127.8792969,252.2714844
107,-125.9060547,247.6923828
108,-128.4682031,253.8511719
109,-127.4467578,250.8214844
110,-126.9909766,249.6673828
111,-128.9945703,254.3980469
112,-128.2747656,252.5082031
113,-126.2391406,247.64375
114,-126.8225,249.1070313
115,-125.6543359,246.2769531
116,-123.7876953,241.4882813
117,-138.4795015,280.9879765
118,-138.2833724,280.2337243
119,-136.4545161,275.1153959
120,-137.1158358,276.9281525
121,-134.2314076,269.1543988
122,-135.5012903,273.3426686
123,-134.6681525,271.2671554
124,-133.3515836,267.1601173
125,-132.4262463,264.5828446
126,-131.777478,262.8711144
127,-130.9090616,260.5332845
128,-129.6085924,256.6442815
129,-130.6785044,259.597654
130,-128.1395601,253.4519062
