,Lost Data,Number of Iterations,Reward
628,282.7136164,629,-139.3348365
629,283.3396779,630,-139.515471
630,281.9151781,631,-139.1826159
631,283.1602245,632,-139.3697511
632,283.236896,633,-139.5019327
633,281.9926306,634,-139.0183797
634,280.0805271,635,-138.3062469
635,281.9707662,636,-139.0189068
636,282.6398243,637,-139.3377745
637,284.90898,638,-140.2835041
638,281.7963397,639,-138.947428
639,283.1402147,640,-139.3841972
640,284.3305515,641,-139.9533041
641,283.3863348,642,-139.5502391
642,285.0535871,643,-140.1841972
643,283.0495364,644,-139.5040996
644,406.2531967,645,-188.7426159
645,282.9677892,646,-139.4848219
646,282.5915081,647,-139.2176672
647,282.6539287,648,-139.2214056
648,283.2349927,649,-139.4914104
649,281.1796486,650,-138.8212982
650,282.4878477,651,-139.345798
651,283.5529039,652,-139.5353636
652,285.0416301,653,-140.1845388
653,283.4277696,654,-139.5821864
654,282.3120547,655,-139.0797755
655,284.0670571,656,-139.9001269
656,283.7864812,657,-139.7564178
657,284.0294778,658,-139.6945144
658,284.3719375,659,-140.0491654
659,283.7321132,660,-139.6063153
660,281.6654466,661,-138.9602245
661,283.124695,662,-139.466081
662,285.1352367,663,-140.3164178
663,282.0374817,664,-138.9906881
664,283.3720839,665,-139.5489312
665,284.8292826,666,-140.090815
666,283.1334309,667,-139.3658663
667,284.841386,668,-140.101757
668,285.6664714,669,-140.3654173
669,279.8195217,670,-138.1750024
670,283.3612006,671,-139.5421376
671,282.1408492,672,-139.0090971
672,281.9747682,673,-139.013675
673,283.6781845,674,-139.6045095
674,282.3775988,675,-139.0598731
675,284.3816008,676,-139.8905124
676,282.9099561,677,-139.5073206
677,283.0653001,678,-139.3808297
678,284.2856515,679,-139.8399317
679,282.3350415,680,-139.2412396
680,281.3543192,681,-138.9263055
681,283.0331381,682,-139.4331186
682,281.2780381,683,-138.8059932
683,284.9255246,684,-140.1664031
684,409.9345534,685,-190.1785554
685,280.7003416,686,-138.5512445
686,281.0051733,687,-138.6216886
687,283.2213275,688,-139.4483651
688,282.0936066,689,-139.0280234
689,283.6113714,690,-139.5377648
690,282.1838458,691,-139.2732455
691,283.9813568,692,-139.7004002
692,283.4454856,693,-139.5521816
693,280.98204,694,-138.5548463
694,281.9635432,695,-138.9623328
695,281.9627135,696,-139.0259346
696,283.0997072,697,-139.4092338
697,283.4079551,698,-139.4822645
698,282.858614,699,-139.4701903
699,282.0999024,700,-138.9975988
700,283.3818448,701,-139.3912933
701,283.0015129,702,-139.5190532
702,282.2180576,703,-139.1334407
703,282.0276232,704,-139.0826452
704,282.9596877,705,-139.421552
705,282.9320156,706,-139.4409858
706,282.5642265,707,-139.2157833
707,284.7724256,708,-140.1669009
708,285.199756,709,-140.2897609
709,284.1989751,710,-139.8452806
710,284.3367984,711,-139.8459932
711,281.1734017,712,-138.6926403
712,282.8557833,713,-139.3255735
713,282.3499268,714,-139.0017082
714,282.0385554,715,-139.0604197
715,283.6711079,716,-139.5587311
716,282.2083455,717,-139.1061298
717,281.497267,718,-138.8104734
718,281.8144461,719,-138.9217277
719,282.604002,720,-139.2587799
720,281.4727184,721,-138.8272523
721,283.7670571,722,-139.6388385
722,283.9190337,723,-139.6569253
723,281.3232796,724,-138.8340947
724,284.5088824,725,-139.9736359
725,283.1571498,726,-139.4405076
726,283.3543192,727,-139.4798438
727,283.5108834,728,-139.6298292
728,284.320205,729,-139.9269595
729,281.450122,730,-138.7213372
730,282.3512933,731,-139.0920547
731,280.6643729,732,-138.5222157
732,281.4358224,733,-138.6563202
733,283.5434846,734,-139.635305
734,281.9588092,735,-139.0221767
735,283.4868716,736,-139.6639043
736,281.8134212,737,-139.026979
737,283.6059541,738,-139.7220303
738,281.6638848,739,-138.8839531
739,281.5639336,740,-138.8129819
740,281.1117618,741,-138.5454856
741,283.6682772,742,-139.6537433
